Organ System,Section,Video,Order,UWorld QIDs,COMLEX QIDs,Course,Question Type
Immunology,Top USMLE Concepts in Immunology,Acute Transplant Rejection,57,"546, 568","23659, 23681",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,Graft Versus Host Disease,58,"402, 1613","23515, 24724",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,Cytokines for the USMLE,59,"1801, 1873, 14772, 1579, 14677, 1799, 15509, 1597","24690, 24908, 24910, 24982, 24908, 24708, 25917, 25926, 26362",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,Eosinophilia,60,"665, 667, 508, 1864, 1626, 924","23621,23777, 23779, 24036, 24737, 24913",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,Vaccines,61,"1649, 962, 734, 1853, 1102, 1465, 378, 968, 1467, 760, 1466","23491, 23846, 23872, 24074, 24080, 24213, 24576, 24577, 24578, 24760, 24962",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,MHC,62,"11674, 746, 542, 1218","23655, 23858, 24329, 25611",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,COVID & Live Vaccines,63,"1464, 15215, 1467","24575, 24578, 26162",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,Immunoglobulins,64,"377, 379, 1596, 587","377, 379, 1596, 587",Step 1 Pass Fail,
Immunology,Top USMLE Concepts in Immunology,Key Immunology Details,65,"1800, 677, 1137","23789, 24248, 24909",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Type 1 Hypersensitivity,66,"1131, 61, 11740, 1130","23175, 24241, 24242, 25634",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Asthma,67,"108, 665, 1925, 2100, 663, 523, 15155, 527, 15156, 2128, 171, 168, 169, 1523","23222,23281, 23282, 23284, 23640, 23775, 23777, 25209, 25237, 24634, 25034, 26122, 26123, 23640",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Pharmacology Integration,68,"949, 1365, 948","24060, 24061, 24476",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Shock Integration,69,61,23175,Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Type 2 Hypersensitivity,70,"756, 6554, 749, 848, 1012","23861, 23868, 23960, 24123, 25250",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Endocrine Integration,71,"623, 924, 622, 637, 1945, 294, 124, 125","23735, 24036, 23734, 23749, 23237, 23238, 23407, 25054",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Hematology Integration,72,"124, 1954, 8261","23237, 25063, 25359",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Type 3 Hypersensitivity,73,"73, 875, 742, 15619, 1505, 460, 457","23187, 23570, 23573, 23854, 23987, 24616, 26448",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Type 4 Hypersensitivity,74,"544, 720, 1219, 1314, 1115, 1133","23657, 23832, 24226, 24244, 24330, 24425",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,General Pathology Integration,75,"11064, 744, 546","23659, 23856",Step 1 Pass Fail,
Immunology,HyGuru Immunology for the USMLE: Hypersensitivity,Summary,76,,,Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Introduction,77,,,Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Basics of Metabolism,78,"2016, 1119","25125, 24230",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Enzyme Terminology,79,"994, 1121","24106, 23232",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Transamination Reactions,80,1482,24593,Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Dehydrogenase Enzymes,81,"1019, 1066, 1888, 1807","24130, 24177, 24916, 24997",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Overview of Metabolism for the USMLE,82,,,Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Glycolysis,83,"1010, 1019, 1031, 1020","24121, 24130, 24131, 24142",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Gluconeogenesis,84,"989, 997, 1034","24101, 24109, 24145",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Metabolic Regulation of Pyruvate,85,"998, 1019, 1021, 996","24110, 24108, 24130, 24132",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Ethanol Metabolism,86,"1866, 21465, 370","23483, 24975, 27617",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Glycogen Storage Diseases,87,"1023, 1030,: 1032","24134, 24141, 24143",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,"Fructose, Galactose, Lactose",88,"1070, 1068, 1071, 1072, 1069, 1073,  1067, 1071, 1074, 1728,  1072, 133, 134","24179, 24181, 24182, 24183, 24180, 24184, 24178,  24182, 24185, 24839, 23246, 23247, 24183",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Lipid Metabolism & Synthesis,89,"1888, 2064, 327","23440, 24997, 25173",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Fatty Acid Oxidation,90,"1889, 11918, 1328, 1886,  1888","24998, 24439, 25773, 24995, 24997",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Odd Chain FA Metabolism,91,"64, 1341, 1340, 788, 1332, 1383","23178, 24452, 24451, 23900, 24443, 24494",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,B12 Deficiency Integration,92,"12031, 1838, 1792, 1047, 788, 124, 1848, 12062, 65","25802, 24372, 24947, 24158, 23900, 23237, 24957, 25808, 23179",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,"Summary of Lipids ",93,,,Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Ketone Metabolism,94,"997, 1886, 1887, 11917, 1888","24109, 24995, 24996, 24997",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,"DKA (Integration) ",95,"2014, 1889, 2073, 985, 600, 106, 107,  688","25123, 24998, 25182, 24097, 23713, 23220, 23221, 23800",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Amino Acid Metabolism,96,"8563, 1334, 1789, 1484, 1501, 1483, 1500, 1503, 1502","25426, 24445, 24898, 24594, 24595, 24611, 24612, 2461324614",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Urea Cycle,97,"1370, 1341, 1372, 1480, 8578","24481, 24452, 24483, 24591, 25432",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Collagen Synthesis,98,"1245, 1247, 1244, 947, 497, 1061, 1247, 311, 702","24356, 24358,  24355, 24059, 23610, 24172, 24358, 23424, 23814",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Energy Production,99,"997, 998, 1019, 1010, 1020, 1021","24109, 24110, 24121, 24130, 24131, 24132",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,TCA Cycle,100,"1369, 1022, 1807, 1119","24480, 24133, 24916, 24230",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Electron Transport Chain,101,"1807, 1019,  1415, 1545, 1240, ","24916, 24130,  24526, 24656, 24351",Step 1 Pass Fail,
Biochemistry,"USMLE Step 1 Biochemistry & Metabolism Review ",Uncoupling Agents,102,"821, 714","23933, 23826",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Cholesterol & Lipid Metabolism,103,"2016, 2064, 447, 1108, 190","25125, 25173, 23560, 24219, 23303",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,VLDL,104,"11844, 327, 2064","25730,  23440, 25173",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,IDL,105,"782, 2064","23894, 25173",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,LDL & Atherosclerosis,106,"444, 191, 190, 160, 163, 11634, 165, 14988, 846, 1901, 711, 780, 781, 712, 1327, 1328","23557, 23304, 23303, 23273, 23276, 25589, 23278, 26058, 23958, 25010, 23823, 23892, 23893, 23824, 24438, 24439",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Lipid Disorders for the USMLE,108,"190, 782, 440, 625, 163, 166, 164, 11844","23303, 23894, 23553, 23737, 23276, 23279, 23277, 25730",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,HMP Shunt Pathway,109,"1035, 1036, 1037, 1119, 1066","24146, 24147, 24148, 24230, 24177",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Nucleotide Synthesis,110,"1580, 2090, 2066, 16287, 1890, 1892, 1894, 2067, 2028, 1475","24691, 25199, 25175, 26565, 24999, 25001, 25003, 25176, 25137, 24586",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Biochemistry of Nutrition,111,"324, 1111, 326","23437, 24222, 23439",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Fat Soluble Vitamins,112,"364, 7584, 808, 1581, 710, 1065, 1806, 671, 1564","23477, 25306, 23920, 24692, 23822, 24176, 24915, 23783, 24675",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Cystic Fibrosis,113,"14916, 802, 805, 807, 1514, 358, 803, 806","26009, 23914, 23917, 23919, 24625, 23471, 23915, 23918",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Water Soluble Vitamins,114,"1047, 1846, 1955, 2129, 1021, 1334, 1064, 12276, 1063","24158, 24955, 25064, 25238, 24132, 24445, 24175, 25843, 24174",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Approach to Pedigrees on the USMLE,115,1790,24899,Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Lysosomal Storage Diseases,116,"11930,  8524, 1989, 1990,  11864","25780, 25411, 25099, 25747",Step 1 Pass Fail,
Biochemistry,USMLE Step 1 Biochemistry & Metabolism Review,Chromosome Abnormalities for the USMLE,118,"468, 1915, 1052, 701, 393, 395, 1690, 428, 8, 1822, 1823","23581, 25024, 24163, 23813, 23506, 23508, 24801, 23541, 23122, 24931, 24932",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)","Session Outline ",119,,,Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Sites of Metabolism,120,"2039, 1473, 1417","24584, 26417",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",DNA Rapid Review,121,"15299, 1894, 1436, 1718",25003,Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",HMP Shunt Nucleotide Synthesis,122,"1119, 1037, 1035, 1036","24230, 24148, 24146, 24147",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",DNA Replication,123,"1418, 1437",24548,Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Telomerase & Topoisomerase,124,"2033, 1438","25142, 24549",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",DNA Polymerase & Synthesis,125,"15169, 1438, 11912, 1434, 1435, 2017, 1471, 1644","24755, 24582,25126, 24546, 24545, 24549,",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Transcription,126,"2030, 2029, 2042, 12263","25151, 25138, 25139",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Steroid hormones,127,"2016, 11950",25125,Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1) ",  Lac Operon,128,"1479, 1485","24590, 24596",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Transcription revisited,129,"2030, 2029, 2042, 12263","25138, 25139",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Splicing and Post Transcriptional_Modifications,130,"2033, 11913, 2038, 2035, 8276","25144, 25147, 25142, ",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Spinal Muscular Atrophy Integration,131,2036,25145,Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Translation,132,"11709, 2030, 2029, 2086, 757, 1428, 2037, 1417, 1000","25138, 25139, 25195, 23869, 24539, 25146, 24528, 24112",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",tRNA structure significance,133,"2037, 1428, 1417","25146, 24539, 24528",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Prokaryotic vs Eukaryoti translation,134,"1437, 1435, 1488","24548, 24546, 24599",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Protein Elongation Virulence Factor Integration,135,"1093, 2029","25809, 25138",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Translocation,136,"8, 1810, 2029, 1610, 312","23425, 23122, 24919, 25138, 24721",Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",Post Translational Modification,137,638,23750,Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)",I Cell disease Integration,138,11930,,Step 1 Pass Fail,
Molecular Biochemistry,"DNA Synthesis, Transcription, Translation (USMLE Step 1)"," Summary",139,,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,"Introduction ",140,,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Overview,141,,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Session Outline,142,,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,"Multi-Organ Dysfunction ",143,,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Co Dominance,144,8261,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Variable Expressivity vs Pleiotropy,145,"1725, 1970","25079, 24836",Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Genotype vs Phenotype,146,"293, 1915, 8283",25024,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Neurofibromatosis,147,"1307, 1534","24418, 24645",Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Anticipation,148,"633, 1935","23745, 25044",Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,USMLE Trinucleotide Repeats,149, 633,23745,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Mosaicism,150,"1810, 12225",24919,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Imprinting Disorder,151,"1610, 7791","25351, 24721",Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Linkage Disequilibrium,152,8283,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,"Test Taking Strategy for USMLE ",153,,,Step 1 Pass Fail,
Genetics,Genetic Principles & Hardy Weinberg,Pedigrees,154,1790,24899,Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Introduction,155,,,Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes," A Test Taking Approach for Syndromes",156,,,Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Down's Syndrome Integration,157,"8, 1610, 1599, 312, 11803, 1824, 330, 331, 326, 15278, 1571, 590","23122, 24721, 24710, 23425, 24933, 23443, 23444, 23439, 24682, 23703",Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Patau & Edwards Syndrome,158,"1822, 1823, 252","24931, 24932, 23365",Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Imprinting Syndromes,159,7791,25351,Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Homocystinuria,160,"788, 1332, 1504, 194","23900, 24443, 24615, 23307",Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Marfanoid Habitus,161,"986, 1844, 988, 1504","24098, 24953, 24098, 24615",Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Marfan’s Syndrome,162,"1250, 462, 473, 947, 15886, 986, 194","24361, 23575, 23586, 24059, 26530, 24098, 23307",Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Ehler’s Danlos Syndrome,163,"1244, 1245, 947, 497","24059, 23610, 24355, 24356",Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Lesch Nyhan Syndrome,164,"2067, 813, 1728","25176, 23925, 24839",Step 1 Pass Fail,
Genetics,USMLE Step 1 — Metabolic and Genetic Syndromes,Kartagener’s Syndrome,165,"1611, 664, 820, 1922, 1548","24722, 23776, 23941, 25031, 24659",Step 1 Pass Fail,
